产品编码,产品名称,产品缩略图,销售价,市场价,评论数,Q&A,促销1세일,促销2오늘드림,促销3증정,促销41+1,促销5쿠폰,品牌,品牌id,品牌logo图片url,详情页图,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业&销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,当前网址,当前时间
A000000130541,에스트라 아토베리어365 예민보습 로션 기획세트(로션 60ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013054103ko.jpg?l=ko,"21,000","28,000","3,595",67,세일,오늘드림,,,,에스트라,A002474,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2020/12/58144562832857706.jpg,,로션 150ml + 로션 60ml,모든 피부,36개월(개봉 후 1년),"아토베리어365 로션은 얼굴과 몸에 함께 사용하는 제품입니다
세안 또는목욕 후 3분 이내 건조함이 심한 부위에 충분한 양을 덜어 부드럽게 바릅니다",(주)코스비전/(주)아모레퍼시픽,대한민국,"정제수, 부틸렌글라이콜, 글리세린, 스쿠알란,펜타에리스리틸테트라이소스테아레이트,사이클로펜타실록산, 폴리글리세릴-3메칠
글루코오스디스테아레이트, 부틸렌글라이콜디카프릴레이트/디카프레이트, 카프릴릭/카프릭트리글리세라이드, 사이클로헥사실록산,
스테아릭애씨드, 팔미틱애씨드, 글리세릴스테아레이트, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리머,
하이드록시프로필비스팔미타마이드엠이에이,폴리글리세릴-10스테아레이트, 디메치콘올,콜레스테롤, 하이드록시프로필비스라우라
마이드엠이에이, 베헤닐알코올, 피토스핑고신,글리세릴카프릴레이트, 카보머, 디소듐이디티에이, 에칠헥실글리세린, 트로메타민, 소르
비탄이소스테아레이트, 아라키딕애씨드, 미리스틱애씨드, 만니톨, 카나우바왁스추출물, 토코페롤, 아크릴레이트/암모늄메타크릴레이트
코폴리머, 실리카, 소목줄기가루, 올레익애씨드",해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에
의하여 사용부위가 붉은 반점, 부어오름
또는 가려움증 등의 이상 증상이나 부작
용이 있는 경우 전문의 등과 상담할 것
2. 상처가 있는 부위 등에는 사용을 자제
할 것
3. 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관
할 것
나) 직사광선을 피해서 보관할 것","본 제품에 이상이 있을 경우, 공정거래위원회고시 소비자분쟁해결기준에 의거 보상해드립니다.",고객상담실 : 080-023-3900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130541&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:24:54
A000000159182,[한정기획]넘버즈인 3번 결광가득 에센스 토너 200ml 기획 (+화장솜 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015918201ko.jpg?l=ko,"16,500","22,000","1,993",1,세일,오늘드림,,,,넘버즈인,A003477,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/6/4286850159205476491.jpg,,200ml / 40매입,모든 피부 용,제품 별도 표기 / 개봉 후 12개월 이내 사용,"세안 후, 스킨케어 첫 단계에서 화장솜에 적셔 피부결을 정돈해준 뒤 손바닥에 덜어 피부결을 따라 얼굴 전체를 감싸듯이 레이어링해줍니다.",삼성메디코스(주) / (주)비나우,대한민국,"정제수, 다이프로필렌글라이콜, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 부틸렌글라이콜, 글리세린, 메틸글루세스-20, 메도우스위트추출물, 락토코쿠스/녹두추출물발효여과물, 락토바실러스/쌀발효물, 클로렐라발효물, 락토바실러스/조류추출발효물, 효모/포도발효추출물, 락토바실러스/호박발효추출물, 락토바실러스/콩발효추출물, 락토바실러스/콩추출물발효여과물, 효모/쌀발효여과추출물, 효모/보리씨발효여과물, 효모/칼슘발효물, 효모/슈가캘프발효물, 효모/감자추출물발효여과물, 락토바실러스/여바산타발효추출물, 락토바실러스/부레옥잠발효물, 락토바실러스/호밀가루발효물, 락토바실러스/히비스커스꽃발효여과물, 락토바실러스/우유발효여과물, 락토바실러스/홍삼발효여과물, 락토바실러스/아세로라체리발효물, 락토바실러스발효물, 락토바실러스발효용해여과물, 락토코커스/우유발효용해물, 락토코쿠스발효물, 락토코쿠스발효추출물, 락토코쿠스발효용해물, 스트렙토코쿠스 테르모필루스발효물, 흑효모발효여과물, 비피다발효여과물, 비피다발효추출물, 류코노스톡/무발효여과물, 락토바실러스/고추냉이뿌리발효추출물, 락토바실러스/석류발효추출물, 바실러스/글루타믹애씨드발효여과물, 바실러스/쌀겨추출물/콩추출물발효여과물, 모나스커스/쌀발효물, 효모/쌀겨발효여과추출물, 효모/쌀겨발효물, 락토바실러스/배즙발효여과물, 피키아발효용해여과물, 알테로모나스발효추출물, 효모/율무씨발효여과물, 효모/콩단백질발효물 , 스핑고모나스발효추출물, 효모/공작석발효물, 효모발효물, 효모발효여과물, 스키조사카로미세스발효여과물, 아스퍼질러스발효물, 아스퍼질러스/글루코오스/콩/전분발효여과물, 센티드제라늄꽃오일 , 소듐하이알루로네이트, 폴리글리세릴-10라우레이트, 세테아릴알코올, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 폴리쿼터늄-51, 하이드록시에틸셀룰로오스, 아데노신, 제라니올, 시트로넬올",Y,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것",공정거래위원회 고시 소비자 분쟁해결기준에 의거해 보상해 드립니다.,넘버즈인 고객상담센터 080-850-7771,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159182&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:04
A000000147339,아누아 어성초 77 토너 350ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014733904ko.jpg?l=ko,"22,020","30,500","4,313",67,세일,오늘드림,,,쿠폰,아누아,A003377,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/2/140686590235886002.jpg,,350ml,모든 피부용,제조일자로 부터 30개월 / 개봉 후 12개월,세안 후에 적당량을 덜어 피부에 두드려 흡수시켜 줍니다.,메가코스㈜ / ㈜더파운더즈,대한민국,"약모밀추출물, 정제수, 1,2-헥산다이올, 글리세린, 베타인, 병풀추출물, 체이스트트리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 포도추출물, 사과추출물, 사탕수수추출물, 판테놀, 마트리카리아꽃추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 메틸프로판다이올, 부틸렌글라이콜, 아이소펜틸다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것.
2. 상처가 있는 부위 등에는 사용을 자제할 것.
3. 보관 및 취급 시의 주의사항
가) 어린이의 손에 닿지 않는 곳에 보관할 것.
나) 직사광선을 피해서 보관할 것.","본 상품에 이상이 있을 경우, 공정거래위원회 고시 [소비자 분쟁 해결 기준]에 의해 보상해드립니다.",02-2135-6648,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:13
A000000132162,라운드랩 1025 독도 토너 200ml 기획(토너 50ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013216211ko.jpg?l=ko,"13,500","15,000","10,370",64,세일,오늘드림,,,,라운드랩,A002756,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2020/12/8461360608481023208.jpg,,[본품] 1025 독도 토너 200ml + [증정품] 1025 독도 토너 50ml,모든 피부용,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","세안 후 적당량을 덜어 화장솜에 충분히 적신 뒤, 피부결을 따라 부드럽게 닦아내어 피부를 정돈시켜줍니다.",제조업자: 코스맥스(주) / 책임판매업자: 서린컴퍼니㈜,대한민국,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이",해당사항 없음,"1)화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2)상처가 있는 부위 등에는 사용을 자제할 것3)보관 및 취급시의 주의사항 가)어린이의 손이 닿지 않는 곳에 보관 할 것 나)직사광선을피해서 보관할것",본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의해 보상해드립니다.,070-7717-0675,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132162&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:23
A000000148285,★올리브영 한정★마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014828506ko.jpg?l=ko,"17,500","25,000","2,089",17,세일,오늘드림,,,,마녀공장,A001924,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2020/12/2445168984175454401.jpg,,[본품] 400ml + [증정] 100ml,모든 피부용,"제조일로부터 2년, 개봉후 12개월",세안 후 화장솜에 앰플 토너를 충분히 적신 뒤 피부 결을 따라 부드럽게 닦아낸 후 가볍게 두드려 흡수시켜 줍니다,코스맥스(주) / (주)마녀공장,대한민국,"정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 펜틸렌글라이콜, 버지니아풍년화수, 락토바실러스발효용해물, 락토코쿠스발효용해물, 락토바실러스/호박발효추출물, 효모발효여과물, 베타인, 알란토인, 판테놀, 세라마이드엔피, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드로제네이티드레시틴, 비피다발효여과물, 비피다발효용해물, 자일리톨, 안하이드로자일리톨, 자일리틸글루코사이드, 글루코오스, 1,2-헥산다이올, 흰버드나무껍질추출물, 락토바이오닉애씨드, 사탕수수추출물, 쿠티박테리움 그라눌로숨발효추출여과물(10ppb), 프룩토오스, 프룩토올리고사카라이드, 카프릴릭/카프릭트라이글리세라이드, 벤질글라이콜, 토코페롤, 에틸헥실글리세린, 잔탄검, 다이소듐이디티에이, 아이리쉬모스추출물, 클로렐라 불가리스추출물",해당사항 없음,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것",본 상품에 이상이 있을 경우 공정거래위원회 고시 소비자 분쟁해결 기준에 따라 교환 및 환불을 받을 수 있습니다,02-6013-0855,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148285&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:32
A000000137692,아벤느 트릭세라 100ml 2입 기획(+젠틀토닝로션100ml)#윤광로션#72시간보습,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013769205ko.jpg?l=ko,"22,000","40,000","1,444",40,세일,오늘드림,증정,,,아벤느,A000003,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/1/1226612276009238380.jpg,,트릭사라 페이셜 로션 100ml 2EA 외 증정품 1종,모든 피부용,제조일로부터 3년 개봉 후 1년이내,적당량을 취하여 피부에 마사지하듯 살짝 두드려 흡수시켜줍니다.,제조업자: 피에르파브르더모코스메틱 책임판매업자:피에르파브르더모코스메틱코리아(유),프랑스,"아쿠아(아벤느 온천수)
글리세린
카프릴릭/카프릭트라이글리세라이드
아이소프로필팔미테이트
프로필렌글라이콜다이카프레이트
글리세릴스테아레이트
피이지-100스테아레이트
미레스-3미리스테이트
토코페릴아세테이트
달맞이꽃오일
카프릴릴글라이콜
글라이신
펜틸람노사이드
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머
카보머
벤조익애씨드
정제수
소듐하이드록사이드
향료
피이지-400
콩추출물
피이지-32
토코페롤",해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것
2. 상처가 있는 부위 등에는 사용을 자제할 것
3. 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것",＊본 제품은 공정거래위원회 고시 소비자분쟁해결기준에 의거 교환 또는 보상받을 수 있습니다.,1899-4802,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137692&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:42
A000000159266,마몽드 로즈워터 토너 50ml (NEW),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015926601ko.jpg?l=ko,100,100,74,1,,오늘드림,증정,,,마몽드,A000031,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/1/8896622318636272066.jpg,,50ml,물 대신 장미수 90.97%를 함유하여 닦을수록 촉촉한 진정 보습 장미수 토너,개봉 전 36개월 개봉 후 12개월,"세안후 화장솜에 덜어 피부결을 따라 부드럽게 닦아내거나, 손바닥에 적당량을 덜어 흡수시켜줍니다.",㈜코스비전 / (주)아모레퍼시픽,대한민국,"다마스크장미꽃수(90.97%), 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 카보머, 에틸헥실글리세린, 다이소듐이디티에이, 트로메타민, 알란토인, 다마스크장미꽃추출물(0.01%), 정제수, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담하십시오. 2. 상처가 있는 부위 등에는 사용을 자제하십시오. 3. 보관 및 취급 시의 주의사항 1)어린이의 손이 닿지 않는 곳에 보관하십시오. 2)직사광선을 피해서 보관 하십시오.",본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상해 드립니다.,080-023-5454,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159266&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:25:51
A000000158711,★조디PICK★토리든 다이브인 저분자 히알루론산 토너 300ml 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015871105ko.jpg?l=ko,"14,700","21,000",241,1,세일,오늘드림,증정,,,토리든,A002820,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2020/12/7448527137696157986.jpg,,[본품] 다이브인 토너 300ml [증정] 다이브인 세럼 10ml [화장솜] 60매,모든 피부 타입,제조일로부터 3년,세안 후 화장솜 혹은 손에 적당량을 덜어 피부결을 따라 부드럽게 흡수시켜 줍니다.,(주)세레코 / (주)토리든,대한민국,"1. 다이브인 저분자 히알루론산 토너 300ml (본품)
정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 쇠비름추출물, 트레할로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm), 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 2,3-부탄다이올, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린

2. 다이브인 저분자 히알루론산 세럼 10ml (구성품)
정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 판테놀 , 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(500ppm), 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 알란토인, 트레할로오스, 베타인, 프로판다이올, 쇠비름추출물, 버지니아풍년화잎추출물, 마데카소사이드, 마데카식애씨드, 세라마이드엔피, 베타-글루칸, 말라카이트추출물, 콜레스테롤, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 폴리글리세릴-10라우레이트, 잔탄검, 트로메타민, 카보머, 에틸헥실글리세린, 황금추출물, 모란뿌리추출물",해당사항 없음,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것
2) 상처가 있는 부위 등에는 사용을 자제할 것
3) 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것",본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.,1600-3584,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158711&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:26:01
A000000151951,더랩바이블랑두 올리고 히알루론산 5000토너 500ml 대용량 기획(500ml+100ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015195104ko.jpg?l=ko,"26,500","34,000","1,458",5,세일,오늘드림,,,,더랩바이블랑두,A002924,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/1/6980438432834939682.jpg,,500ml(+100ml 증정),모든 피부 타입,제조일로부터 3년,"1. 적당량을 손에 덜어 피부결을 따라 발라주고 손 끝으로 가볍게 두드려 흡수시켜 줍니다.
2. 특별한 케어가 필요한 날, 피부가 열로 인해 자극 받은 날엔 화장솜에 듬뿍 묻혀 10~15분간 붙여주고 진정수분팩으로 활용합니다.",(주)코스맥스 / (주)에런케이,대한민국,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 소듐하이알루로네이트(2,500 ppm), 하이알루로닉애씨드(100 ppm), 동백나무잎추출물, 베타-글루칸, 다이소듐이디티에이, 알란토인, 접시꽃추출물, 토코페롤, 판테놀, 에틸헥실글리세린",해당사항 없음,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것
2) 상처가 있는 부위 등에는 사용을 자제할 것
3) 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것",본 제품은 공정거래위원회고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.,070-4667-5996,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151951&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:26:11
A000000156326,수이스킨 어린 새싹 클린 토너 200ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015632604ko.jpg?l=ko,"20,000","20,000",280,2,,오늘드림,증정,,,수이스킨,A003619,https://image.oliveyoung.co.kr/uploads/images/onlBrandMgmt/2021/8/4556609373532914930.jpg,,200ml,모든 피부용 / 투명한 액상,30개월 / 개봉 후 12개월,"아침, 저녁으로 깨끗한 피부에 화장솜 또는 손으로 두드리듯 펴 발라 줍니다.",화장품제조업자: 한국콜마㈜ / 화장품책임판매업자: ㈜씨엠에스랩,대한민국,"보리잎추출물, 밀싹추출물, 녹차추출물, 메틸프로판다이올, 글리세린, 쇠비름추출물, 병풀추출물, 무화과추출물, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 정제수, 소듐시트레이트, 소듐아크릴릭애씨드/엠에이코폴리머, 부틸렌글라이콜, 시트릭애씨드, 다이소듐이디티에이, 세라마이드엔피, 1,2-헥산다이올, 하이드록시아세토페논, 에틸헥실글리세린, 카프릴릴글라이콜",해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것
2. 상처가 있는 부위 등에는 사용을 자제할 것
3. 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것","교환/반품/보증조건 및 품질보증기준은 ""소비자기본법""에 따른 소비자 분쟁해결기준에 따라 보상합니다.
본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상",수이스킨 고객센터 / 1588-3593,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156326&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-25 10:26:21
