一级分类名称,一级分类编码,二级分类名称,二级分类编码,三级分类名称,三级分类编码,三级分类链接,产品数量,48产品页数,采集时间
스킨케어,10000010001,스킨/로션/올인원,100000100010008, 전체,100000100010008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100010008&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100010008_Small,635,14,2021-12-16 12:04:30
스킨케어,10000010001,스킨/로션/올인원,100000100010008,스킨/토너,1000001000100080001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100080001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100080001_Small,352,8,2021-12-16 12:04:30
스킨케어,10000010001,스킨/로션/올인원,100000100010008,로션/에멀젼,1000001000100080002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100080002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100080002_Small,124,3,2021-12-16 12:04:31
스킨케어,10000010001,스킨/로션/올인원,100000100010008,올인원,1000001000100080003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100080003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100080003_Small,107,3,2021-12-16 12:04:31
스킨케어,10000010001,스킨/로션/올인원,100000100010008,스킨케어 세트,1000001000100080004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100080004&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100080004_Small,75,2,2021-12-16 12:04:31
스킨케어,10000010001,에센스/크림,100000100010009, 전체,100000100010009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100010009&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100010009_Small,949,20,2021-12-16 12:04:32
스킨케어,10000010001,에센스/크림,100000100010009,에센스/세럼,1000001000100090001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100090001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100090001_Small,478,10,2021-12-16 12:04:32
스킨케어,10000010001,에센스/크림,100000100010009,크림,1000001000100090002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100090002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100090002_Small,445,10,2021-12-16 12:04:33
스킨케어,10000010001,에센스/크림,100000100010009,아이크림,1000001000100090003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100090003&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100090003_Small,57,2,2021-12-16 12:04:33
스킨케어,10000010001,미스트/오일,100000100010010, 전체,100000100010010,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100010010&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100010010_Small,104,3,2021-12-16 12:04:34
스킨케어,10000010001,미스트/오일,100000100010010,미스트/픽서,1000001000100100001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100100001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100100001_Small,74,2,2021-12-16 12:04:35
스킨케어,10000010001,미스트/오일,100000100010010,페이스오일,1000001000100100002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000100100002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000100100002_Small,30,1,2021-12-16 12:04:35
마스크팩,10000010009,시트팩/패드,100000100090001, 전체,100000100090001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100090001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100090001_Small,598,13,2021-12-16 12:04:38
마스크팩,10000010009,시트팩/패드,100000100090001,시트팩,1000001000900010001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000900010001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000900010001_Small,460,10,2021-12-16 12:04:39
마스크팩,10000010009,시트팩/패드,100000100090001,패드,1000001000900010002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000900010002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000900010002_Small,138,3,2021-12-16 12:04:39
마스크팩,10000010009,페이셜팩,100000100090002, 전체,100000100090002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100090002&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat100000100090002_Small,110,3,2021-12-16 12:04:40
마스크팩,10000010009,페이셜팩,100000100090002,워시오프팩,1000001000900020001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000900020001&fltDispCatNo=&prdSort=01&pageIdx=1&rowsPerPage=24&searchTypeSort=btn_thumb&plusButtonFlag=N&isLoginCnt=0&aShowCnt=0&bShowCnt=0&cShowCnt=0&trackingCd=Cat1000001000900020001_Small,65,2,2021-12-16 12:04:40
