三级类目名称,三级类目编码,三级类目产品数,页码,产品编码,产品链接,采集时间
에센스,1000001000400130003,132,3,A000000104447,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104447&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000014823,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014823&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000008825,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000008825&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000010081,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010081&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000011230,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011230&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000011832,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011832&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000012023,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012023&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000012779,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012779&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000012892,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012892&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
에센스,1000001000400130003,132,3,A000000013896,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000013896&dispCatNo=1000001000400130003&trackingCd=Cat1000001000400130003_Small&curation&egcode&rccode&egrankcode,2021-12-13 21:45:40
