成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,10-Decanediol",http://www.cosdna.com/chs/61146110982.html,"1,10-癸二醇",溶剂,,,1,"1,10-Decanediol",,"1,10-癸二醇",,CasNo：112-47-0,溶剂,,2022-01-07 19:30:43
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,10-Decanediol",http://www.cosdna.com/chs/61146110982.html,"1,10-癸二醇",溶剂,,,1,"1,10-Decanediol",,"1,10-癸二醇",,CasNo：112-47-0,溶剂,,2022-01-07 19:32:19
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,2-Butanediol",http://www.cosdna.com/chs/16ec3c12616.html,"1,2-丁二醇","溶剂,黏度控制,保湿",,,,"1,2-Butanediol","1,2-ButyleneGlycol","1,2-丁二醇",分子量：90.12,CasNo：584-03-2,保湿剂、溶剂、减黏剂,,2022-01-07 19:32:20
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,2-Hexanediol",http://www.cosdna.com/chs/56f78f6500.html,"1,2-己二醇",溶剂,,,1,"1,2-Hexanediol",,"1,2-己二醇",分子量：118.17,CasNo：6920-22-5,溶剂，(香料、香精、油墨)之稀释剂。具有抑菌效果之多元醇，可帮助保溼及渗透，添加量在5%左右，就具有防腐效果，但对于产品开封后之保存无法与真正防腐剂相同。,,2022-01-07 19:32:21
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
PentyleneGlycol,http://www.cosdna.com/chs/0cd5c11135.html,"戊二醇,1,2-戊二醇",保湿,,,1,PentyleneGlycol,,"戊二醇,1,2-戊二醇",分子量：104.15,CasNo：5343-92-0,小分子保湿剂、润滑、抑菌,,2022-01-07 19:32:22
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
Propanediol,http://www.cosdna.com/chs/72a94a19514.html,"1,3-丙二醇","溶剂,黏度控制",,,1,Propanediol,"1,3-PropyleneGlycol,1,3-Dihydroxypropane,1,3-Propanediol,ZemeaPropanediol","1,3-丙二醇",分子量：76.09,CasNo：504-63-2;26264-14-2,溶剂、黏度控制剂,,2022-01-07 19:32:23
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,4-butanediol",http://www.cosdna.com/chs/6c015e15170.html,"1,4-丁二醇",溶剂,,,,"1,4-butanediol",,"1,4-丁二醇",,CasNo：110-63-4,溶剂,,2022-01-07 19:32:24
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
"1,5-naphthalenediol",http://www.cosdna.com/chs/03800e6510.html,"1,5-萘二酚",色料,,,,"1,5-naphthalenediol",CI76625,"1,5-萘二酚",,CasNo：83-56-7,染髮剂,,2022-01-07 19:32:25
成分英文名称,成分详情页面链接,成分中文名,概略特性,粉刺,刺激,安心度,成分官方英文名称,成分相关英文名称,产品中文名称,分子量,Cas No,说明内容,参考资料,当前时间
