표준 성분명,표준 영문명
알파-비사보롤,(-)-alpha-bisabolol
(20S)-프로토파낙사다이올,(20S)-Protopanaxadiol
(왜당귀/작약)뿌리/천궁뿌리줄기추출물,(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract
(왜당귀/작약/지황/황금)뿌리/(천궁/콥티스)뿌리줄기/치자나무 열매/향피수나무껍질추출물,"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia
Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia
Jasminoides Fruit/Phellodendron Chinense Bark Extract"
(육계/요엽후박)나무껍질/(고량강/참당귀)뿌리추출물,(Cinnamomum Cassia/Magnolia Officinalis) Bark/(Alpinia Officinarum/Angelica Gigas) Root Extract
(천당삼/참마)뿌리/삽주뿌리줄기/복령/(백편두/율무/가시연꽃/ 연꽃)씨추출물,"(Codonopsis Tangshen/Dioscorea Japonica)
Root/Atractylodes Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-
yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract"
(락스퍼/허니서클/포트마리골드/수레국화)꽃추출물,(Delphinium Consolida/Lonicera Caprifolium/Calendula Officinalis/Centaurea Cyanus) Flower Extract
(잎새버섯/차가버섯/치마버섯/송이버섯)균사체/홍설차발효추 출여과물,"(Grifola Frondosa (Maitake)/ Inonotus Obliquus
(Mushroom)/ Schizophyllum Commune/ Tricholoma Matsutake) Mycelium /Lethariella Cladonioides Ferment
Extract Filtrate"
(싸리나무/황벽나무)껍질/콘민트잎/(지모/황금)뿌리추출물,(Lespedeza Bicolor/Phellodendron Amurense Bark)/Mentha Arvensis Leaf/(Anemarrhena Asphodeloides/Scutellaria Baicalensis Root) Extract
(오약/작약)뿌리/몰약수지/당약/아선약추출물,(Lindera Strychnifolia/Paeonia Albiflora) Root/Commiphora Myrrha Resin/Swertia Japonica/Uncaria Gambir Extract
(요엽후박/황벽나무)나무껍질/동백나무잎/생강/자몽씨수,"(Magnolia Officinalis/Phellodendron Amurense)
Bark/Camellia Japonica Leaf/Zingiber Officinale (Ginger)
Root/Citrus Paradisi (Grapefruit) Seed Water"
(뽕나무열매/수크로오스발효여과물/하수오뿌리추출물)발효여 과물,(Morus Alba Fruit/Sucrose Ferment Filtrate/Polygonum Multiflorum Root Extract) Ferment Filtrate
(작약나무껍질/수액)/황벽나무껍질/황금뿌리/콘민트추출물,(Paeonia Lactiflora Bark/Sap)/Phellodendron Amurense Bark/Scutellaria Baicalensis Root/Mentha Arvensis Extract
(땅콩열매/싹)/(감초/황금/고삼뿌리)/병풀추출물,(Peanut Fruit/Sprout)/(Licorice/Scutellaria Baicalensis/Sophora Flavescens Root)/Centella Asiatica Extract
"1,10-데칸다이올","1,10-Decanediol"
"1,2,6-헥산트라이올","1,2,6-Hexanetriol"
"1,2-부탄다이올","1,2-Butanediol"
"1,2-헥산다이올","1,2-Hexanediol"
"1,2-헥산다이일다이카프레이트","1,2-Hexanediyl Dicaprate"
"1,4-부탄다이올","1,4-Butanediol"
"1,4-부탄다이올/석시닉애씨드/아디픽애씨드/에이치디아이코 폴리머","1,4-Butanediol/Succinic Acid/Adipic Acid/HDI Copolymer"
"1,5-디히드록시나프탈렌","1,5-Naphthalenediol"
"1,5-펜탄다이올","1,5-Pentanediol"
10-하이드록시데카노익애씨드,10-Hydroxydecanoic Acid
10-하이드록시데세노익애씨드,10-Hydroxydecenoic Acid
10-하이드록시스테아릭애씨드,10-Hydroxystearic Acid
1-아세토나프톤,1-Acetonaphthone
1-아세톡시-2-메틸나프탈렌,1-Acetoxy-2-Methylnaphthalene
"1-하이드록시에틸4,5-다이아미노피라졸설페이트","1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate"
1-메틸하이단토인-2-이미드,1-Methylhydantoin-2-Imide
1-나프탈렌아세틱애씨드,1-Naphthaleneacetic Acid
1-나프톨,1-Naphthol
2-(2-아미노에톡시)에탄올,2-(2-Aminoethoxy)ethanol
"2,2'-메틸렌비스4-아미노페놀","2,2'-Methylenebis 4-Aminophenol"
"2,2'-메틸렌비스4-아미노페놀에이치씨엘","2,2'-Methylenebis-4-Aminophenol HCl"
"2,2'-티오비스(4-클로로페놀)","2,2'-Thiobis(4-Chlorophenol)"
"2,3-부탄다이올","2,3-Butanediol"
"2,4-다이아미노페놀","2,4-Diaminophenol"
"염산2,4-디아미노페놀","2,4-Diaminophenol HCl"
"염산2,4-디아미노페녹시에탄올","2,4-Diaminophenoxyethanol HCL"
"2,4-다이아미노페녹시에탄올설페이트","2,4-Diaminophenoxyethanol Sulfate"
"2,4-다이메틸-3-사이클로헥신카복스알데하이드","2,4-Dimethyl-3-Cyclohexene Carboxaldehyde"
"2,5,6-트라이아미노-4-피리미딘올설페이트","2,5,6-Triamino-4-Pyrimidinol Sulfate"
"2,5-다이하이드록시벤조익애씨드","2,5-Dihydroxybenzoic Acid"
"2,5-다이하이드록시벤조일다이펩타이드-27","2,5-Dihydroxybenzoyl Dipeptide-27"
"2,5-다이하이드록시벤조일다이펩타이드-48","2,5-Dihydroxybenzoyl Dipeptide-48"
"2,6-다이아미노-3((피리딘-3-일)아조)피리딘","2,6-Diamino-3-((Pyridin-3-yl)Azo)Pyridine"
"2,6-디아미노피리딘","2,6-Diaminopyridine"
"2,6-다이아미노피리딘설페이트","2,6-Diaminopyridine Sulfate"
"2,6-다이카복시피리딘","2,6-Dicarboxypyridine"
"2,6-다이메틸-7-옥텐-2-올","2,6-Dimethyl-7-Octen-2-ol"
"2,6-다이메틸-P-페닐렌다이아민","2,6-Dimethyl-p-Phenylenediamine"
"2,6-다이메틸-P-페닐렌다이아민에이치씨엘","2,6-Dimethyl-p-Phenylenediamine HCl"
2-아세토나프톤,2-Acetonaphthone
2-아미노-3-히드록시피리딘,2-Amino-3-hydroxypyridine
"2-아미노-4,5-다이메틸티아졸에이치비알","2-Amino-4,5-Dimethylthiazole HBr"
2-아미노-4-니트로페놀,2-Amino-4-nitrophenol
2-아미노-5-니트로페놀,2-Amino-5-nitrophenol
황산2-아미노-5-니트로페놀,2-Amino-5-nitrophenol sulfate
2-아미노-6-클로로-4-니트로페놀,2-Amino-6-Chloro-4-Nitrophenol
2-아미노부탄올,2-Aminobutanol
2-아미노메틸-p-아미노페놀에이치씨엘,2-Aminomethyl-p-Aminophenol HCl
2-벤질헵탄올,2-Benzylheptanol
"2-브로모-2-나이트로프로판-1,3-디올","2-Bromo-2-Nitropropane-1,3-Diol"
2-카프로일카프로일메틸알라니네이트,2-Caproyl Caproyl Methyl Alaninate
2-카프릴로일카프릴로일메틸알라니네이트,2-Capryloyl Capryloyl Methyl Alaninate
2-클로로-5-나이트로-N-하이드록시에틸p-페닐렌다이아민,2-Chloro-5-Nitro-N-Hydroxyethyl p-Phenylenediamine
2-클로로-p-페닐렌다이아민,2-Chloro-p-Phenylenediamine
황산o-클로로-p-페닐렌디아민,2-Chloro-p-Phenylenediamine Sulfate
2-에틸헥실알,2-Ethylhexylal
2-헵틸사이클로펜타논,2-Heptylcyclopentanone
2-메톡시-p-페닐렌다이아민설페이트,2-Methoxy-p-Phenylenediamine Sulfate
2-메틸5-사이클로헥실펜탄올,2-Methyl 5-Cyclohexylpentanol
2-메틸5-페닐펜탄올,2-Methyl 5-Phenylpentanol
2-메틸-1-나프톨,2-Methyl-1-Naphthol
2-메틸-4-하이드록시피롤리딘,2-Methyl-4-Hydroxypyrrolidine
2-메칠-5-하이드록시에칠아미노페놀,2-Methyl-5-Hydroxyethylaminophenol
2-메틸프로판알,2-Methylpropanal
2-메틸레조시놀,2-Methylresorcinol
2-나이트로-5-글리세릴메틸아닐린,2-Nitro-5-Glyceryl Methylaniline
니트로-p-페닐렌디아민,2-Nitro-p-Phenylenediamine
2-나이트로-p-페닐렌다이아민다이하이드로클로라이드,2-Nitro-p-Phenylenediamine Dihydrochloride
2-나이트로-p-페닐렌다이아민설페이트,2-Nitro-p-Phenylenediamine Sulfate
2-O-에틸아스코빅애씨드,2-O-Ethyl Ascorbic Acid
"2-올레아미도-1,3,4-옥타데카트라이일프롤리네이트","2-Oleamido-1,3,4-Octadecatriyl Prolinate"
"2-올레아미도-1,3-옥타데칸다이올","2-Oleamido-1,3-Octadecanediol"
2-프로필-5-사이클로헥실펜탄올,2-Propyl-5-Cyclohexylpentanol
2-t-부틸사이클로헥실아세테이트,2-t-Butylcyclohexyl Acetate
2-t-부틸사이클로헥실옥시부탄올,2-t-Butylcyclohexyloxybutanol
"3,4-다이하이드록시벤조익애씨드","3,4-Dihydroxybenzoic Acid"
