No,INCI,???,???,CAS No.,?? ??
1,"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",,"1-£®3,4-??ƒœ???£©-4,4-???-1,3-≥C?”ã",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
2,"1,10-DECANEDIOL","1,10-?????","1,10-???",112-47-0,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
3,"1,2-BUTANEDIOL",,"1,2-???",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
4,"1,2-HEXANEDIOL","1,2-?????","1,2-???",6920-22-5,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
5,PENTYLENE GLYCOL,???????,"1,2-≥C??",5343-92-0,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
6,PROPANEDIOL,??????,"1,3-???",26264-14-2^504-63-2,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
7,"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",,"1,3-çè-£®2,4-????ƒœ?£©?π«",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
8,"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL",,"1,3-çè-£®2,4-????ƒœ?£©?π« HCl",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
9,"1,4-BUTANEDIOL",,"1,4-???",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
10,"1,5-NAPHTHALENEDIOL",,"1,5-±±??",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
11,"1,5-PENTANEDIOL",,"1,5-≥C??",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
12,HEXANEDIOL,?????,"1,6-???",26762-52-7^629-11-8,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
13,,?????,"1,9-???",,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
14,10-HYDROXYDECANOIC ACID,10-????????????,10-Ìa??îH,1679-53-4,http://cis.kcii.re.kr/resource/img/img_country_00000003.jpg
