三级类目名称,三级类目编码,三级类目产品数,页码,产品编码,产品链接,采集时间
 전체,100000100010008,645,1,A000000159182,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159182&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000150578,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150578&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000130541,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130541&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000147339,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000132162,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132162&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000148285,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148285&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000159266,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159266&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000151951,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151951&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000137692,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137692&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000158874,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158874&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000158711,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000158711&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
 전체,100000100010008,645,1,A000000147524,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147524&dispCatNo=100000100010008&trackingCd=Cat100000100010008_Small&curation&egcode&rccode&egrankcode,2021-11-24 14:40:48
