一级分类名称,一级分类编码,二级分类名称,二级分类编码,三级分类名称,三级分类编码,三级分类链接,产品数量,48产品页数,采集时间
마스크팩,10000010009,워시/스크럽,100000100030005, 전체,100000100030005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100030005,540,12,2021-11-24 19:02:43
마스크팩,10000010009,워시/스크럽,100000100030005,바디스크럽,1000001000300050002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300050002,68,2,2021-11-24 19:02:44
마스크팩,10000010009,워시/스크럽,100000100030005,바디워시,1000001000300050001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300050001,378,8,2021-11-24 19:02:45
마스크팩,10000010009,워시/스크럽,100000100030005,비누,1000001000300050004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300050004,38,1,2021-11-24 19:02:46
마스크팩,10000010009,워시/스크럽,100000100030005,입욕제,1000001000300050003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300050003,57,2,2021-11-24 19:02:47
마스크팩,10000010009,제모용품,100000100030013, 전체,100000100030013,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100030013,201,5,2021-11-24 19:02:47
마스크팩,10000010009,제모용품,100000100030013,면도/제모 보조용품,1000001000300130004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300130004,59,2,2021-11-24 19:02:48
마스크팩,10000010009,제모용품,100000100030013,면도기,1000001000300130001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300130001,91,2,2021-11-24 19:02:49
마스크팩,10000010009,제모용품,100000100030013,면도날,1000001000300130002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300130002,13,1,2021-11-24 19:02:50
마스크팩,10000010009,제모용품,100000100030013,제모크림/스트립,1000001000300130003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300130003,38,1,2021-11-24 19:02:51
마스크팩,10000010009,핸드/풋,100000100030007, 전체,100000100030007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100030007,558,12,2021-11-24 19:02:52
마스크팩,10000010009,핸드/풋,100000100030007,핸드크림,1000001000300070001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070001,296,7,2021-11-24 19:02:53
마스크팩,10000010009,핸드/풋,100000100030007,핸드워시,1000001000300070003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070003,99,3,2021-11-24 19:02:54
마스크팩,10000010009,핸드/풋,100000100030007,기획세트,1000001000300070004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070004,36,1,2021-11-24 19:02:54
마스크팩,10000010009,핸드/풋,100000100030007,핸드마스크,1000001000300070002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070002,4,1,2021-11-24 19:02:54
마스크팩,10000010009,핸드/풋,100000100030007,발/다리보습용품,1000001000300070005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070005,25,1,2021-11-24 19:02:55
마스크팩,10000010009,핸드/풋,100000100030007,발/다리세정용품,1000001000300070006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070006,21,1,2021-11-24 19:02:56
마스크팩,10000010009,핸드/풋,100000100030007,발/다리피로회복용품,1000001000300070007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070007,37,1,2021-11-24 19:02:57
마스크팩,10000010009,핸드/풋,100000100030007,발각질제거용품,1000001000300070009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070009,53,2,2021-11-24 19:02:57
마스크팩,10000010009,핸드/풋,100000100030007,발냄새제거용품,1000001000300070010,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070010,20,1,2021-11-24 19:02:58
마스크팩,10000010009,핸드/풋,100000100030007,발톱영양제,1000001000300070008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000300070008,3,1,2021-11-24 19:02:59
마스크팩,10000010009,샴푸/린스,100000100040008, 전체,100000100040008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040008,526,11,2021-11-24 19:03:00
마스크팩,10000010009,샴푸/린스,100000100040008,샴푸,1000001000400080001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080001,450,10,2021-11-24 19:03:01
마스크팩,10000010009,샴푸/린스,100000100040008,샴푸바,1000001000400080004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080004,45,1,2021-11-24 19:03:02
마스크팩,10000010009,샴푸/린스,100000100040008,드라이샴푸,1000001000400080005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080005,60,2,2021-11-24 19:03:02
마스크팩,10000010009,샴푸/린스,100000100040008,린스/컨디셔너,1000001000400080002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400080002,81,2,2021-11-24 19:03:03
마스크팩,10000010009,트리트먼트/팩,100000100040007, 전체,100000100040007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040007,273,6,2021-11-24 19:03:04
마스크팩,10000010009,트리트먼트/팩,100000100040007,두피팩/스케일러,1000001000400070003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070003,28,1,2021-11-24 19:03:05
마스크팩,10000010009,트리트먼트/팩,100000100040007,헤어팩/마스크,1000001000400070004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070004,90,2,2021-11-24 19:03:05
마스크팩,10000010009,트리트먼트/팩,100000100040007,트리트먼트,1000001000400070005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400070005,176,4,2021-11-24 19:03:07
마스크팩,10000010009,헤어기기,100000100040004, 전체,100000100040004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040004,163,4,2021-11-24 19:03:07
마스크팩,10000010009,헤어기기,100000100040004,탈모/두피기기,1000001000400040006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040006,8,1,2021-11-24 19:03:07
마스크팩,10000010009,헤어기기,100000100040004,헤어롤,1000001000400040007,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040007,12,1,2021-11-24 19:03:08
마스크팩,10000010009,헤어기기,100000100040004,고데기,1000001000400040008,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040008,101,3,2021-11-24 19:03:09
마스크팩,10000010009,헤어기기,100000100040004,드라이기,1000001000400040009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400040009,44,1,2021-11-24 19:03:10
마스크팩,10000010009,헤어브러쉬,100000100040009, 전체,100000100040009,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040009,122,3,2021-11-24 19:03:11
마스크팩,10000010009,헤어브러쉬,100000100040009,모발용,1000001000400090001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400090001,99,3,2021-11-24 19:03:12
마스크팩,10000010009,헤어브러쉬,100000100040009,두피용,1000001000400090002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400090002,25,1,2021-11-24 19:03:13
마스크팩,10000010009,염색약/펌,100000100040010, 전체,100000100040010,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040010,232,5,2021-11-24 19:03:13
마스크팩,10000010009,염색약/펌,100000100040010,컬러염색,1000001000400100001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100001,179,4,2021-11-24 19:03:13
마스크팩,10000010009,염색약/펌,100000100040010,새치염색,1000001000400100002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100002,64,2,2021-11-24 19:03:14
마스크팩,10000010009,염색약/펌,100000100040010,파마,1000001000400100003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100003,7,1,2021-11-24 19:03:15
마스크팩,10000010009,염색약/펌,100000100040010,탈색,1000001000400100005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100005,26,1,2021-11-24 19:03:16
마스크팩,10000010009,염색약/펌,100000100040010,헤어메이크업,1000001000400100006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400100006,36,1,2021-11-24 19:03:16
마스크팩,10000010009,스타일링,100000100040011, 전체,100000100040011,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040011,187,4,2021-11-24 19:03:17
마스크팩,10000010009,스타일링,100000100040011,왁스/젤/무스,1000001000400110001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400110001,122,3,2021-11-24 19:03:17
마스크팩,10000010009,스타일링,100000100040011,스프레이/픽서,1000001000400110002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400110002,71,2,2021-11-24 19:03:18
마스크팩,10000010009,탈모케어,100000100040012, 전체,100000100040012,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040012,112,3,2021-11-24 19:03:19
마스크팩,10000010009,탈모케어,100000100040012,헤어케어,1000001000400120001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400120001,107,3,2021-11-24 19:03:20
마스크팩,10000010009,탈모케어,100000100040012,헤어가전,1000001000400120002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400120002,5,1,2021-11-24 19:03:20
마스크팩,10000010009,에센스,100000100040013, 전체,100000100040013,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100040013,204,5,2021-11-24 19:03:20
마스크팩,10000010009,에센스,100000100040013,헤어워터,1000001000400130001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130001,24,1,2021-11-24 19:03:20
마스크팩,10000010009,에센스,100000100040013,오일/세럼,1000001000400130002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130002,66,2,2021-11-24 19:03:21
마스크팩,10000010009,에센스,100000100040013,에센스,1000001000400130003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000400130003,131,3,2021-11-24 19:03:21
마스크팩,10000010009,여성향수,100000100050003, 전체,100000100050003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050003,520,11,2021-11-24 19:03:23
마스크팩,10000010009,여성향수,100000100050003,여성향수,1000001000500030001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500030001,514,11,2021-11-24 19:03:24
마스크팩,10000010009,여성향수,100000100050003,향수기타,1000001000500030002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500030002,6,1,2021-11-24 19:03:24
마스크팩,10000010009,남성향수,100000100050004, 전체,100000100050004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050004,163,4,2021-11-24 19:03:26
마스크팩,10000010009,남성향수,100000100050004,남성향수,1000001000500040001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500040001,163,4,2021-11-24 19:03:26
마스크팩,10000010009,캔들/디퓨저,100000100050002, 전체,100000100050002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100050002,189,4,2021-11-24 19:03:27
마스크팩,10000010009,캔들/디퓨저,100000100050002,디퓨져,1000001000500020002,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500020002,132,3,2021-11-24 19:03:27
마스크팩,10000010009,캔들/디퓨저,100000100050002,캔들,1000001000500020001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000500020001,57,2,2021-11-24 19:03:27
마스크팩,10000010009,기타소품,100000100060005, 전체,100000100060005,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=100000100060005,238,5,2021-11-24 19:03:28
마스크팩,10000010009,기타소품,100000100060005,공용기,1000001000600050003,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000600050003,22,1,2021-11-24 19:03:29
마스크팩,10000010009,기타소품,100000100060005,기타미용소품,1000001000600050006,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000600050006,112,3,2021-11-24 19:03:30
마스크팩,10000010009,기타소품,100000100060005,마스크준비도구,1000001000600050004,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000600050004,3,1,2021-11-24 19:03:31
마스크팩,10000010009,기타소품,100000100060005,면봉,1000001000600050001,https://www.oliveyoung.co.kr/store/display/getMCategoryList.do?dispCatNo=1000001000600050001,14,1,2021-11-24 19:03:32
