品牌,车龄,里程,城市,认证,售价,原价
SAVANA 2012款 6.0L 领袖级经典版,8年2个月 , 10万公里 , 北京,无认证,22.00万,新车含税价: 118.00万
宝马X5 M 2010款 X5 M,10年3个月 , 3万公里 , 北京,无认证,36.80万,新车含税价: 201.80万
SLS赛威 2012款 2.0T 舒适型,8年10个月 , 13.70万公里 , 北京,无认证,7.98万,新车含税价: 41.88万
凯迪拉克SRX 2015款 3.0L 精英型,6年8个月 , 11.50万公里 , 北京,无认证,13.98万,新车含税价: 43.98万
奥迪A8 2013款 A8L 45 TFSI quattro豪华型,8年6个月 , 12万公里 , 北京,无认证,29.50万,新车含税价: 100.10万
奥迪A8 2013款 A8L 50 TFSI quattro豪华型,7年2个月 , 9万公里 , 北京,无认证,39.80万,新车含税价: 122.80万
斯巴鲁XV 2012款 2.0i 舒适导航版,9年4个月 , 12万公里 , 北京,无认证,6.90万,新车含税价: 20.88万
雷克萨斯RX经典 2012款 350 豪华版,9年 , 11万公里 , 北京,无认证,26.90万,新车含税价: 78.70万
皇冠 2009款 2.5L Royal特别强化版,12年9个月 , 10万公里 , 北京,无认证,9.90万,新车含税价: 32.80万
SAVANA 2012款 6.0L 领袖级经典版,7年3个月 , 10万公里 , 北京,无认证,21.80万,新车含税价: 118.00万
宝马X6 2017款 xDrive35i 豪华型,4年 , 6.59万公里 , 北京,无认证,55.60万,新车含税价: 99.80万
MINI 2011款 1.6L COOPER Tattoo,7年5个月 , 3.90万公里 , 北京,无认证,13.80万,新车含税价: 28.70万
奥迪S5 2009款 S5 4.2 Coupe,11年2个月 , 8.90万公里 , 北京,无认证,19.98万,新车含税价: 98.00万
捷豹XJ 2016款 XJL 3.0 SC 四驱全景商务版,4年8个月 , 10.59万公里 , 北京,无认证,48.80万,新车含税价: 98.80万
宝马X5 2015款 xDrive28i,5年8个月 , 3.76万公里 , 北京,无认证,43.80万,新车含税价: 75.80万
奥迪A4L 2015款 35 TFSI 自动标准型,6年 , 6.20万公里 , 北京,无认证,15.80万,新车含税价: 31.28万
揽胜 2015款 3.0 V6 SC Vogue,5年11个月 , 8.90万公里 , 北京,无认证,79.80万,新车含税价: 155.80万
Cayenne 2011款 Cayenne S Hybrid 3.0T,8年8个月 , 12万公里 , 北京,无认证,39.80万,新车含税价: 143.80万
揽胜运动版 2014款 3.0 V6 SC HSE,7年8个月 , 13万公里 , 北京,无认证,47.68万,新车含税价: 104.80万
宝马7系 2018款 740Li 领先型 M运动套装,2年6个月 , 3.75万公里 , 北京,无认证,77.80万,新车含税价: 102.80万
